FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2020
A,Annual,CMR,Cameroon,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.4
A,Annual,COD,"Congo, Dem. Rep.",WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.5
A,Annual,COG,"Congo, Rep.",WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.1
A,Annual,COL,Colombia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.6
A,Annual,CRI,Costa Rica,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.1
A,Annual,CYP,Cyprus,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.4
A,Annual,CZE,Czechia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-9.1
A,Annual,DEU,Germany,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-8.4
A,Annual,DJI,Djibouti,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.5
A,Annual,DNK,Denmark,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.5
A,Annual,DZA,Algeria,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.0
A,Annual,ECU,Ecuador,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.5
A,Annual,EGY,"Egypt, Arab Rep.",WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-8.4
A,Annual,ERI,Eritrea,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.5
A,Annual,ESP,Spain,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-7.0
A,Annual,EST,Estonia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.1
A,Annual,ETH,Ethiopia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.7
A,Annual,FIN,Finland,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.0
A,Annual,FRA,France,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-4.8
A,Annual,GAB,Gabon,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.4
A,Annual,GBR,United Kingdom,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-10.3
A,Annual,GEO,Georgia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.0
A,Annual,GHA,Ghana,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.0
A,Annual,GIN,Guinea,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.8
A,Annual,GMB,"Gambia, The",WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.2
A,Annual,GNQ,Equatorial Guinea,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,1.1
A,Annual,GRC,Greece,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-4.7
A,Annual,GTM,Guatemala,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.4
A,Annual,HND,Honduras,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.3
A,Annual,HRV,Croatia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-3.5
A,Annual,HUN,Hungary,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-7.9
A,Annual,IND,India,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.4
A,Annual,IRL,Ireland,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.2
A,Annual,IRN,"Iran, Islamic Rep.",WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-6.5
A,Annual,IRQ,Iraq,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-5.4
A,Annual,ISL,Iceland,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,1.4
A,Annual,ISR,Israel,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-7.7
A,Annual,ITA,Italy,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-5.4
A,Annual,JOR,Jordan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-8.2
A,Annual,JPN,Japan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.3
A,Annual,KAZ,Kazakhstan,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.8
A,Annual,KEN,Kenya,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.0
A,Annual,KGZ,Kyrgyz Republic,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-1.0
A,Annual,KHM,Cambodia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,1.6
A,Annual,KOR,"Korea, Rep.",WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.9
A,Annual,KWT,Kuwait,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-2.3
A,Annual,LAO,Lao PDR,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,1.7
A,Annual,LBN,Lebanon,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-4.9
A,Annual,LBR,Liberia,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,0.2
A,Annual,LBY,Libya,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-4.6
A,Annual,LKA,Sri Lanka,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.1
A,Annual,LSO,Lesotho,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-0.3
A,Annual,LTU,Lithuania,WB_CLEAR_WATQ_NS,"Water quality - nutrients, salts",_T,Total,WQ_RANGE,Water Quality Nutrients Salts Range,_Z,Not Applicable,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,country values range from -12.9 to 2.4,A,Normal value,PU,Public,-4.0
