"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","3.3393","3.3461","3.4703","4.0992","4.3162","5.1738","5.5515","5.778","6.1978","6.9095","7.7185","7.7976","8.4258","9.0627","8.7725","9.7969","10.7838","11.8904","12.7417","14.0795","14.767","14.0692","15.7331","16.9529","18.0011","21.7789","22.0864","23.9579","24.4802","26.1314","26.9773","32.633","34.3448","35.9887","37.9102","40.3834","43.4924","46.2192","51.3301","55.1298","60.7693","65.3074","69.872","72.0796","76.6542","85.4452","93.9921","101.0415","105.1823","109.3222","104.1229","117.7683","120.8657","118.9891","124.1907","",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","69.0654","69.003","71.3147","72.2951","73.1629","78.2694","79.1448","82.1513","88.2102","91.4874","94.6084","90.7219","92.5943","91.6535","90.1144","92.2805","93.3782","93.717","92.8597","91.7036","80.0543","64.921","62.0241","62.8343","60.0219","61.3676","61.6586","59.3273","56.8548","50.1198","48.1779","50.424","47.5974","53.4629","51.4635","52.4905","54.0356","57.6391","54.5628","46.5361","49.5094","54.7842","49.9165","44.452","47.315","49.8572","47.1301","49.2832","46.3135","44.6358","39.4151","45.8711","49.4431","36.9706","34.1885","",
"Bahrain","BHR","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","3.2202","3.2389","3.8272","4.7655","5.5732","5.7431","6.2107","6.8314","7.216","7.6832","7.785","8.3178","8.7502","9.0768","9.2868","9.6479","10.9692","10.7213","11.315","11.4205","11.997","11.5693","13.6153","14.7278","14.9996","15.2432","15.7943","16.2596","17.2345","17.3259","17.7715","18.4025","19.2269","19.8961","19.9206","23.3702","25.449","25.8519","27.669","27.6556","28.8353","29.0035","30.2164","32.1308","33.2899","33.4691","33.4571","33.7521","33.822","36.8474","36.8402","37.3578","38.8307","38.689","37.9692","",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","1.4413","1.4639","1.7257","1.7181","1.5017","1.537","1.3567","1.5065","1.5277","1.574","1.5462","1.3599","1.1152","0.8216","0.8061","0.7143","0.748","0.8836","0.9027","1.0572","1.0865","0.9817","0.8467","0.8703","0.9648","1.1156","1.2452","1.2557","1.4427","1.2965","0.9973","0.9927","1.0869","0.8096","0.874","0.8606","1.0954","1.3138","1.3616","1.1324","1.283","0.8542","1.0171","1.0911","1.1363","1.1204","1.2455","1.3738","1.2106","1.4505","1.1733","1.4488","1.4055","1.4098","1.4592","",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","11.2398","11.2766","11.0865","12.0862","13.0696","13.3398","13.2315","13.9385","14.6189","15.1262","14.5937","16.2052","16.7388","17.731","18.5067","19.5125","20.4522","18.8931","19.2747","19.601","24.5739","21.992","16.2286","13.6204","3.3002","3.5148","4.3994","8.7233","11.0509","10.8922","14.2812","14.0968","14.8282","15.1887","16.0341","16.8463","18.6905","19.7252","21.6523","21.6601","22.2176","25.2681","23.3108","23.2132","20.7957","20.8309","23.5062","23.9898","24.0642","22.5975","22.5364","23.0097","22.3986","20.8288","20.4074","",
"Belarus","BLR","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","60.165","60.261","64.3722","70.3457","76.1497","81.83","85.3608","88.2785","91.8778","95.0815","98.6418","100.5281","101.4692","102.0095","101.5419","101.5375","101.9888","102.5873","100.999","97.5202","105.5332","101.5855","91.8419","79.2927","67.5941","60.4273","61.3587","61.8071","60.3076","58.1614","56.2599","54.9987","55.1904","55.8311","59.1875","60.0192","62.4637","61.0589","64.7655","61.6066","66.1204","62.961","64.269","64.4295","63.9709","59.1683","59.0629","60.2218","63.4486","61.2475","58.1601","58.6423","55.8945","53.8204","54.2158","",
"Belize","BLZ","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.0599","0.0599","0.0726","0.0733","0.0654","0.079","0.0717","0.0791","0.0791","0.0782","0.0774","0.0713","0.0625","0.0613","0.0727","0.073","0.0942","0.0822","0.0647","0.0969","0.1265","0.1448","0.1212","0.1183","0.1149","0.1298","0.108","0.1858","0.1889","0.1973","0.1397","0.1425","0.1422","0.1497","0.1372","0.1509","0.1745","0.1684","0.1628","0.1967","0.2333","0.15","0.1629","0.2057","0.2045","0.2472","0.2608","0.2847","0.2846","0.3982","0.3186","0.3361","0.3545","0.3756","0.3889","",
"Bermuda","BMU","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.1388","0.1387","0.169","0.1705","0.1519","0.1839","0.1667","0.1841","0.1841","0.1821","0.18","0.1535","0.1521","0.1576","0.1705","0.1664","0.163","0.2483","0.2916","0.3626","0.2525","0.2279","0.1801","0.2011","0.1992","0.2003","0.2043","0.2097","0.2147","0.2175","0.1504","0.1487","0.1656","0.171","0.173","0.186","0.2316","0.2771","0.2789","0.2447","0.309","0.1534","0.1777","0.198","0.272","0.2307","0.3117","0.2853","0.3009","0.3025","0.2142","0.2447","0.2575","0.2583","0.2673","",
"Bolivia","BOL","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","3.0253","3.7729","4.4981","4.1882","3.9877","4.5356","5.1248","4.9232","5.6102","4.9922","4.9795","5.2992","5.5218","5.6861","5.1959","5.1174","4.7679","4.9514","5.3617","6.173","6.5843","6.8994","7.4305","8.8889","9.5941","8.6741","8.3856","10.1676","10.1749","8.8772","8.2048","7.9363","8.4679","9.0191","9.4522","9.9372","10.7816","11.996","12.8434","13.6594","14.7927","16.0948","17.0414","18.1017","19.463","19.9523","21.3607","21.7833","21.9655","21.9997","18.5659","21.8696","23.3823","24.4241","28.4356","",
"Brazil","BRA","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","107.1388","106.7785","116.2631","135.214","146.0012","156.485","171.9244","179.5963","194.202","207.3826","207.1192","191.2746","189.3176","181.6244","184.7531","198.0474","216.9281","222.9273","227.7656","230.9657","226.8889","235.2647","238.6958","249.3297","258.7499","280.029","300.6344","319.2483","328.5588","335.9148","349.4076","351.3367","351.437","346.5055","365.3106","369.2574","373.6873","393.1254","412.7913","385.5933","439.9219","463.643","497.9036","523.4755","546.4394","517.9408","482.7112","494.7579","471.0836","468.5794","447.921","506.2334","479.2664","480.235","491.4688","",
